ID,T[s],Infiltration[mm]
5,2700.0,1222.185457
5,3240.0,1445.0151
5,3780.0,1666.431431
5,4320.0,1886.447213
5,4860.0,2105.57173
5,5400.0,2323.804981
5,5940.0,2541.401605
5,6480.0,2758.361619
5,7020.0,2974.685014
5,7560.0,3190.499111
5,8100.0,3405.931238
5,8640.0,3620.981392
5,9180.0,3835.649575
5,9720.0,4049.935787
5,10260.0,4263.967351
5,10800.0,4477.61457
6,33.8,36.16963762
6,67.5,54.78783709
6,101.3,71.19241995
6,135.0,86.4971495
6,168.8,101.102066
6,202.5,115.2091934
6,236.3,128.9471751
6,270.0,142.3932104
6,303.8,155.5983669
6,337.5,168.6084431
6,371.3,181.452149
6,405.0,194.1461847
6,438.8,206.7086445
6,472.5,219.1588761
6,506.3,231.5095986
6,540.0,243.7655367
6,573.8,255.9381317
6,607.5,268.0422455
6,641.3,280.080376
6,675.0,292.0549549
6,1350.0,522.7545485
6,2025.0,744.2400437
6,2700.0,960.8919854
6,3375.0,1174.42937
6,4050.0,1385.832106
6,4725.0,1595.383994
6,5400.0,1803.496385
6,6075.0,2010.574829
6,6750.0,2216.770029
6,7425.0,2422.230324
6,8100.0,2626.773046
6,8775.0,2830.763094
6,9450.0,3034.343135
6,10125.0,3237.243338
6,10800.0,3439.736482
6,11475.0,3641.854261
6,12150.0,3843.541326
6,12825.0,4044.880278
6,13500.0,4245.949959
7,60.0,42.75826517
7,120.0,64.51820974
7,180.0,83.66785957
7,240.0,101.507737
7,300.0,118.5369699
7,360.0,134.9823107
7,420.0,150.983679
7,480.0,166.6609142
7,540.0,182.0553185
7,600.0,197.2074667
7,660.0,212.1707889
7,720.0,226.9676864
7,780.0,241.6129988
7,840.0,256.122241
7,900.0,270.5103341
7,960.0,284.7906876
7,1020.0,298.9756921
7,1080.0,313.0754926
7,1140.0,327.0992926
7,1200.0,341.0452232
7,2400.0,609.5458957
7,3600.0,867.2495442
7,4800.0,1119.23636
7,6000.0,1367.543521
7,7200.0,1613.151418
7,8400.0,1856.594809
7,9600.0,2098.510314
7,10800.0,2339.025258
7,12000.0,2578.521616
7,13200.0,2816.999376
7,14400.0,3054.585869
7,15600.0,3291.535746
7,16800.0,3527.721677
7,18000.0,3763.27099
7,19200.0,3998.438332
7,20400.0,4232.969053
7,21600.0,4467.117805
7,22800.0,4700.884582
7,24000.0,4934.140899
8,112.5,47.39844605
8,225.0,70.83518727
8,337.5,91.3825773
8,450.0,110.4801634
8,562.5,128.6880368
8,675.0,146.2362717
8,787.5,163.3390292
8,900.0,180.0356591
8,1012.5,196.4256915
8,1125.0,212.5634675
8,1237.5,228.4790138
8,1350.0,244.2017956
8,1462.5,259.7669671
8,1575.0,275.1972805
8,1687.5,290.5043071
8,1800.0,305.6828296
8,1912.5,320.7457239
8,2025.0,335.7229443
8,2137.5,350.6097324
8,2250.0,365.4083467
8,4500.0,650.1636538
8,6750.0,923.0098563
8,9000.0,1189.629283
8,11250.0,1452.242935
8,13500.0,1711.85836
8,15750.0,1969.379364
8,18000.0,2224.913064
8,20250.0,2479.035482
8,22500.0,2731.927094
8,24750.0,2983.983493
8,27000.0,3234.846659
8,29250.0,3484.951546
8,31500.0,3734.495008
8,33750.0,3983.216725
8,36000.0,4231.411243
8,38250.0,4478.968448
8,40500.0,4726.203295
8,42750.0,4972.948902
8,45000.0,5219.189821
9,262.5,53.61241435
9,525.0,79.74802632
9,787.5,102.6240093
9,1050.0,123.8855852
9,1312.5,144.1266443
9,1575.0,163.6616985
9,1837.5,182.6521463
9,2100.0,201.233391
9,2362.5,219.4425454
9,2625.0,237.3972671
9,2887.5,255.1206093
9,3150.0,272.6149071
9,3412.5,289.9375701
9,3675.0,307.1040314
9,3937.5,324.1205615
9,4200.0,340.9948976
9,4462.5,357.7488465
9,4725.0,374.4060888
9,4987.5,390.9633392
9,5250.0,407.4178036
9,10500.0,724.0851882
9,15750.0,1027.612753
9,21000.0,1324.290292
9,26250.0,1616.498764
9,31500.0,1905.396813
9,36750.0,2192.003033
9,42000.0,2476.572069
9,47250.0,2759.613218
9,52500.0,3041.253805
9,57750.0,3321.621151
9,63000.0,3601.09723
9,68250.0,3879.682041
9,73500.0,4157.502909
9,78750.0,4434.432509
9,84000.0,4710.852814
9,89250.0,4986.636498
9,94500.0,5261.910887
9,99750.0,5536.548656
9,105000.0,5810.931465
10,3.8,5.44547574
10,7.5,8.656532372
10,11.3,11.52878649
10,15.0,14.17632099
10,18.8,16.66806757
10,22.5,19.07675208
10,26.3,21.42286576
10,30.0,23.71746882
10,33.8,25.96958744
10,37.5,28.18727737
10,41.3,30.3779908
10,45.0,32.54572673
10,48.8,34.6932465
10,52.5,36.82330722
10,56.3,38.93839499
10,60.0,41.04049607
10,63.8,43.13137496
10,67.5,45.212128
10,71.3,47.28368258
10,75.0,49.34687874
10,150.0,89.60991273
10,225.0,129.0413733
10,300.0,168.1604996
10,375.0,207.143008
10,450.0,246.0445516
10,525.0,284.9046334
10,600.0,323.7248896
10,675.0,362.5265984
10,750.0,401.3161045
10,825.0,440.1002173
10,900.0,478.8691263
10,975.0,517.6249209
10,1050.0,556.3839477
10,1125.0,595.147388
10,1200.0,633.8987695
10,1275.0,672.6514055
10,1350.0,711.4008631
10,1425.0,750.1455437
10,1500.0,788.887121
11,6.0,9.466108893
11,12.0,14.87983069
11,18.0,19.58838664
11,24.0,23.98807981
11,30.0,28.17964717
11,36.0,32.23422276
11,42.0,36.18899123
11,48.0,40.06362411
11,54.0,43.87305793
11,60.0,47.62972113
11,66.0,51.34389864
11,72.0,55.02093165
11,78.0,58.66545734
11,84.0,62.28188058
11,90.0,65.8732536
11,96.0,69.44214047
11,102.0,72.99110461
11,108.0,76.52270012
11,114.0,80.0389133
11,120.0,83.5408448
11,240.0,151.6972208
11,360.0,218.1347933
11,480.0,283.7957359
11,600.0,348.9855821
11,720.0,413.8443864
11,840.0,478.5122168
11,960.0,543.0527284
11,1080.0,607.4913759
11,1200.0,671.8663663
11,1320.0,736.17769
11,1440.0,800.4380897
11,1560.0,864.6602867
11,1680.0,928.844292
11,1800.0,993.0155645
11,1920.0,1057.148635
11,2040.0,1121.268979
11,2160.0,1185.376595
11,2280.0,1249.458734
11,2400.0,1313.524947
12,9.0,14.31111113
12,18.0,22.22198161
12,27.0,29.22580786
12,36.0,35.77940471
12,45.0,42.04811108
12,54.0,48.12192835
12,63.0,54.04931167
12,72.0,59.86280715
12,81.0,65.58261356
12,90.0,71.2259516
12,99.0,76.80449692
12,108.0,82.32641095
12,117.0,87.79976088
12,126.0,93.23132136
12,135.0,98.62540468
12,144.0,103.9855653
12,153.0,109.3153459
12,162.0,114.6178253
12,171.0,119.8947865
12,180.0,125.1477885
12,360.0,227.0771374
12,540.0,325.8964699
12,720.0,423.2323132
12,900.0,519.6941577
12,1080.0,615.4277799
12,1260.0,710.6890195
12,1440.0,805.59882
12,1620.0,900.5118604
12,1800.0,994.9677158
12,1980.0,1089.163892
12,2160.0,1183.203449
12,2340.0,1277.445024
12,2520.0,1371.579237
12,2700.0,1465.488342
12,2880.0,1559.254736
12,3060.0,1652.975787
12,3240.0,1746.548267
12,3420.0,1840.080254
12,3600.0,1933.456711
13,12.9,19.26348931
13,25.8,29.81666492
13,38.7,39.19246098
13,51.6,47.97163143
13,64.5,56.38095492
13,77.4,64.5290256
13,90.3,72.48026556
13,103.2,80.27863118
13,116.1,87.95166165
13,129.0,95.52234132
13,141.9,103.0046785
13,154.8,110.4102191
13,167.7,117.7479108
13,180.6,125.0237734
13,193.5,132.2436713
13,206.4,139.4145443
13,219.3,146.5459476
13,232.2,153.6478266
13,245.1,160.7291699
13,258.0,167.7743166
13,516.0,303.8831056
13,774.0,435.4163201
13,1032.0,564.641045
13,1290.0,692.3211427
13,1548.0,818.9609993
13,1806.0,944.9205565
13,2064.0,1070.265257
13,2322.0,1194.974151
13,2580.0,1319.578473
13,2838.0,1443.849046
13,3096.0,1567.748407
13,3354.0,1691.209916
13,3612.0,1814.522911
13,3870.0,1937.541295
13,4128.0,2060.293595
13,4386.0,2182.872794
13,4644.0,2305.275307
13,4902.0,2427.013621
13,5160.0,2548.67772
14,15.0,21.16225501
14,30.0,32.24456605
14,45.0,41.9998559
14,60.0,51.08704019
14,75.0,59.7548004
14,90.0,68.12991063
14,105.0,76.28281088
14,120.0,84.2596516
14,135.0,92.09531147
14,150.0,99.81258681
14,165.0,107.4296423
14,180.0,114.9604548
14,195.0,122.4148296
14,210.0,129.8023324
14,225.0,137.1305516
14,240.0,144.4046658
14,255.0,151.6297075
14,270.0,158.8104395
14,285.0,165.9495713
14,300.0,173.0488694
14,600.0,309.8455634
14,900.0,441.2565421
14,1200.0,569.8282282
14,1500.0,696.5791943
14,1800.0,822.0696609
14,2100.0,946.6052054
14,2400.0,1070.313145
14,2700.0,1193.473596
14,3000.0,1315.959227
14,3300.0,1438.190221
14,3600.0,1560.039237
14,3900.0,1681.506281
14,4200.0,1802.718678
14,4500.0,1923.54911
14,4800.0,2043.99756
14,5100.0,2164.318696
14,5400.0,2284.385179
14,5700.0,2404.197014
14,6000.0,2523.879138
15,26.3,27.21301665
15,52.5,41.51755354
15,78.8,54.14690502
15,105.0,65.94199611
15,131.3,77.20675026
15,157.5,88.09807057
15,183.8,98.71561672
15,210.0,109.1155672
15,236.3,119.3324531
15,262.5,129.396173
15,288.8,139.3337342
15,315.0,149.1614438
15,341.3,158.8898457
15,367.5,168.5296436
15,393.8,178.0919501
15,420.0,187.5876974
15,446.3,197.0233537
15,472.5,206.4012973
15,498.8,215.7237554
15,525.0,224.9941854
15,1050.0,403.8332917
15,1575.0,575.6441814
15,2100.0,743.7626975
15,2625.0,909.5129998
15,3150.0,1073.531701
15,3675.0,1236.289898
15,4200.0,1397.97858
15,4725.0,1558.916047
15,5250.0,1719.2169
15,5775.0,1878.753805
15,6300.0,2037.781425
15,6825.0,2196.172413
15,7350.0,2354.181438
15,7875.0,2511.808483
15,8400.0,2669.053568
15,8925.0,2825.916671
15,9450.0,2982.270487
15,9975.0,3138.242325
15,10500.0,3294.085065
16,45.0,31.58680133
16,90.0,47.86689429
16,135.0,62.22857323
16,180.0,75.60752188
16,225.0,88.37256844
16,270.0,100.715402
16,315.0,112.7288365
16,360.0,124.4812686
16,405.0,136.0284991
16,450.0,147.4108936
16,495.0,158.6507622
16,540.0,169.7632346
16,585.0,180.7546146
16,630.0,191.639018
16,675.0,202.4394169
16,720.0,213.1619772
16,765.0,223.8120433
16,810.0,234.3945581
16,855.0,244.914418
16,900.0,255.3761782
16,1800.0,456.8404214
16,2700.0,650.1572519
16,3600.0,839.1941982
16,4500.0,1025.488912
16,5400.0,1209.783272
16,6300.0,1392.703634
16,7200.0,1574.273541
16,8100.0,1754.780602
16,9000.0,1934.472995
16,9900.0,2113.371197
16,10800.0,2291.616679
16,11700.0,2469.220395
16,12600.0,2646.341211
16,13500.0,2822.905241
16,14400.0,2998.901233
16,15300.0,3174.595279
16,16200.0,3349.806047
16,17100.0,3524.868071
16,18000.0,3699.563782
17,75.0,32.86539145
17,150.0,49.02084587
17,225.0,63.14594706
17,300.0,76.22423944
17,375.0,88.65713545
17,450.0,100.6392422
17,525.0,112.2739523
17,600.0,123.6437837
17,675.0,134.79675
17,750.0,145.7675647
17,825.0,156.5838062
17,900.0,167.2635385
17,975.0,177.8177605
17,1050.0,188.2633208
17,1125.0,198.6231461
17,1200.0,208.904032
17,1275.0,219.0945397
17,1350.0,229.2180073
17,1425.0,239.2869157
17,1500.0,249.2993677
17,3000.0,441.4241774
17,4500.0,625.1507226
17,6000.0,804.4489884
17,7500.0,981.0805343
17,9000.0,1155.49741
17,10500.0,1328.172214
17,12000.0,1499.688682
17,13500.0,1670.066884
17,15000.0,1839.558151
17,16500.0,2008.096458
17,18000.0,2176.033516
17,19500.0,2343.447033
17,21000.0,2510.255831
17,22500.0,2676.755458
17,24000.0,2842.701732
17,25500.0,3008.357857
17,27000.0,3173.590973
17,28500.0,3338.57913
17,30000.0,3503.257746
18,182.3,38.2714248
18,364.5,56.87168875
18,546.8,73.10666458
18,729.0,88.1926783
18,911.3,102.5176463
18,1093.5,116.3498783
18,1275.8,129.7760701
18,1458.0,142.9009803
18,1640.3,155.7708004
18,1822.5,168.4044932
18,2004.8,180.8787898
18,2187.0,193.2100045
18,2369.3,205.3919408
18,2551.5,217.4536519
18,2733.8,229.421732
18,2916.0,241.2978294
18,3098.3,253.0808201
18,3280.5,264.7771713
18,3462.8,276.3967163
18,3645.0,287.954198
18,7290.0,510.0326152
18,10935.0,722.4726227
18,14580.0,929.8578731
18,18225.0,1133.983632
18,21870.0,1335.80483
18,25515.0,1535.830759
18,29160.0,1734.328802
18,32805.0,1931.808254
18,36450.0,2128.14179
18,40095.0,2323.711383
18,43740.0,2518.389708
18,47385.0,2712.558738
18,51030.0,2906.091148
18,54675.0,3099.114261
18,58320.0,3291.62808
18,61965.0,3483.632602
18,65610.0,3675.255153
18,69255.0,3866.495732
18,72900.0,4057.354026
19,3.0,4.029912901
19,6.0,6.542225896
19,9.0,8.722667842
19,12.0,10.80367307
19,15.0,12.77911142
19,18.0,14.66748876
19,21.0,16.49668821
19,24.0,18.29236235
19,27.0,20.06396951
19,30.0,21.81387096
19,33.0,23.54439782
19,36.0,25.2578763
19,39.0,26.95631778
19,42.0,28.64123337
19,45.0,30.31408963
19,48.0,31.97635315
19,51.0,33.6294905
19,54.0,35.27496828
19,57.0,36.91425261
19,60.0,38.54851516
19,120.0,70.54294562
19,180.0,101.9601323
19,240.0,133.167189
19,300.0,164.2802189
19,360.0,195.3521995
19,420.0,226.3976524
19,480.0,257.4098883
19,540.0,288.4099674
19,600.0,319.4293882
19,660.0,350.4321942
19,720.0,381.4234194
19,780.0,412.4222817
19,840.0,443.4301861
19,900.0,474.4192716
19,960.0,505.3987528
19,1020.0,536.3847123
19,1080.0,567.3800557
19,1140.0,598.3798962
19,1200.0,629.3582568
20,4.1,6.401456491
20,8.3,10.01112281
20,12.4,13.31314501
20,16.5,16.34074638
20,20.6,19.20389989
20,24.8,21.98664607
20,28.9,24.70639891
20,33.0,27.37316061
20,37.1,29.99614085
20,41.3,32.58110501
20,45.4,35.13288309
20,49.5,37.65630503
20,53.6,40.15620079
20,57.8,42.63738628
20,61.9,45.10336819
20,66.0,47.55529657
20,70.1,49.99407499
20,74.3,52.420607
20,78.4,54.83579618
20,82.5,57.24054609
20,165.0,104.0374522
20,247.5,149.5926803
20,330.0,194.7022251
20,412.5,239.5423921
20,495.0,284.0835977
20,577.5,328.4948599
20,660.0,372.9684521
20,742.5,417.3614813
20,825.0,461.6113684
20,907.5,505.7246554
20,990.0,549.8468701
20,1072.5,594.1034652
20,1155.0,638.4006864
20,1237.5,682.6232601
20,1320.0,726.7889673
20,1402.5,770.9374353
20,1485.0,815.0626615
20,1567.5,859.1564236
20,1650.0,903.2440246
21,5.3,8.65003871
21,10.5,13.51344735
21,15.8,17.71697793
21,21.0,21.65158312
21,26.3,25.41398453
21,31.5,29.04778068
21,36.8,32.57945483
21,42.0,36.03314884
21,47.3,39.43110118
21,52.5,42.78311432
21,57.8,46.09399671
21,63.0,49.36854334
21,68.3,52.61154917
21,73.5,55.82780918
21,78.8,59.02176525
21,84.0,62.1955274
21,89.3,65.35026003
21,94.5,68.48712484
21,99.8,71.60728352
21,105.0,74.71189777
21,210.0,134.8560046
21,315.0,192.9434426
21,420.0,250.1859273
21,525.0,306.66262
21,630.0,362.9439834
21,735.0,418.8123175
21,840.0,474.5052122
21,945.0,530.200121
21,1050.0,585.6717362
21,1155.0,640.9532802
21,1260.0,696.0743188
21,1365.0,750.9858707
21,1470.0,805.3946189
21,1575.0,859.6630327
21,1680.0,913.9637586
21,1785.0,968.2285339
21,1890.0,1022.46923
21,1995.0,1076.70747
21,2100.0,1130.920675
22,6.8,11.04535235
22,13.5,16.92278485
22,20.3,22.12096971
22,27.0,26.93944866
22,33.8,31.53473283
22,40.5,35.97400884
22,47.3,40.2961861
22,54.0,44.5290397
22,60.8,48.68545266
22,67.5,52.77726652
22,74.3,56.81631042
22,81.0,60.81195534
22,87.8,64.76816914
22,94.5,68.68820102
22,101.3,72.57530016
22,108.0,76.43271576
22,114.8,80.26369703
22,121.5,84.07149316
22,128.3,87.85918897
22,135.0,91.62842684
22,270.0,164.4407658
22,405.0,234.5374905
22,540.0,303.3510724
22,675.0,371.2049142
22,810.0,438.339865
22,945.0,505.059003
22,1080.0,571.4952315
22,1215.0,637.6410079
22,1350.0,703.0972095
22,1485.0,767.5670243
22,1620.0,831.5543043
22,1755.0,895.6157031
22,1890.0,959.7186005
22,2025.0,1023.720458
22,2160.0,1087.628237
22,2295.0,1151.479311
22,2430.0,1215.283229
22,2565.0,1279.042584
22,2700.0,1342.757138
23,10.2,14.19530392
23,20.4,21.7365188
23,30.6,28.36391689
23,40.8,34.54219767
23,51.0,40.42910621
23,61.2,46.12129793
23,71.4,51.66310972
23,81.6,57.09007096
23,91.8,62.42231026
23,102.0,67.67254917
23,112.2,72.85346203
23,122.4,77.97640709
23,132.6,83.04758864
23,142.8,88.07194945
23,153.0,93.05443229
23,163.2,97.99997996
23,173.4,102.9135352
23,183.6,107.7994994
23,193.8,112.6598572
23,204.0,117.4959194
23,408.0,210.8236715
23,612.0,300.538047
23,816.0,388.4277491
23,1020.0,475.0640687
23,1224.0,560.4168776
23,1428.0,645.3900288
23,1632.0,729.6431057
23,1836.0,812.8917773
23,2040.0,895.1005268
23,2244.0,976.86857
23,2448.0,1058.520816
23,2652.0,1140.009305
23,2856.0,1221.380879
23,3060.0,1302.690926
23,3264.0,1383.655246
23,3468.0,1464.675092
23,3672.0,1545.611311
23,3876.0,1626.198628
23,4080.0,1707.055711
24,15.0,16.55744457
24,30.0,25.1015236
24,45.0,32.60882644
24,60.0,39.58517148
24,75.0,46.23080336
24,90.0,52.64152165
24,105.0,58.88041808
24,120.0,64.98102514
24,135.0,70.97062838
24,150.0,76.86828751
24,165.0,82.68514794
24,180.0,88.43203439
24,195.0,94.11879671
24,210.0,99.75155891
24,225.0,105.3355551
24,240.0,110.8760193
24,255.0,116.3781856
24,270.0,121.8469688
24,285.0,127.2850382
24,300.0,132.6940997
24,600.0,236.7381519
24,900.0,336.5550366
24,1200.0,434.1538524
24,1500.0,530.285783
24,1800.0,625.3943894
24,2100.0,719.4157049
24,2400.0,812.6496975
24,2700.0,904.6255896
24,3000.0,995.3722596
24,3300.0,1086.02533
24,3600.0,1176.477846
24,3900.0,1266.763954
24,4200.0,1356.781286
24,4500.0,1446.538019
24,4800.0,1536.308062
24,5100.0,1625.920845
24,5400.0,1715.198205
24,5700.0,1804.299769
24,6000.0,1893.577283
25,26.3,19.50127372
25,52.5,29.41075812
25,78.8,38.09309771
25,105.0,46.15653303
25,131.3,53.8321285
25,157.5,61.23380929
25,183.8,68.42908578
25,210.0,75.46102292
25,236.3,82.36349985
25,262.5,89.15624237
25,288.8,95.85683508
25,315.0,102.4780654
25,341.3,109.0284131
25,367.5,115.5162047
25,393.8,121.9488539
25,420.0,128.3308935
25,446.3,134.6662899
25,472.5,140.9590092
25,498.8,147.2130153
25,525.0,153.4317718
25,1050.0,272.9807684
25,1575.0,387.4251473
25,2100.0,499.3499668
25,2625.0,609.5050577
25,3150.0,718.0924861
25,3675.0,825.371199
25,4200.0,931.1054302
25,4725.0,1036.162046
25,5250.0,1140.820706
25,5775.0,1245.127776
25,6300.0,1349.033555
25,6825.0,1452.727051
25,7350.0,1556.062309
25,7875.0,1659.323822
25,8400.0,1762.199783
25,8925.0,1864.94027
25,9450.0,1967.445994
25,9975.0,2069.821959
25,10500.0,2172.054417
26,52.5,22.55866893
26,105.0,33.8099441
26,157.5,43.65264873
26,210.0,52.7822097
26,262.5,61.47389819
26,315.0,69.84767864
26,367.5,77.98541654
26,420.0,85.93861956
26,472.5,93.74101032
26,525.0,101.4177414
26,577.5,108.9888911
26,630.0,116.4708456
26,682.5,123.8713747
26,735.0,131.1969937
26,787.5,138.4542708
26,840.0,145.6500487
26,892.5,152.7912586
26,945.0,159.8848319
26,997.5,166.9368122
26,1050.0,173.9499059
26,2100.0,308.5937165
26,3150.0,437.4215015
26,4200.0,563.152456
26,5250.0,686.637379
26,6300.0,808.2765149
26,7350.0,928.2900753
26,8400.0,1047.543682
26,9450.0,1166.166915
26,10500.0,1284.302568
26,11550.0,1401.929931
26,12600.0,1519.087942
26,13650.0,1635.896105
26,14700.0,1752.472742
26,15750.0,1868.628154
26,16800.0,1984.711631
26,17850.0,2100.33783
26,18900.0,2215.93193
26,19950.0,2331.173828
26,21000.0,2446.260304
27,120.0,25.4829851
27,240.0,37.90014985
27,360.0,48.73938225
27,480.0,58.78124573
27,600.0,68.33850296
27,720.0,77.54664046
27,840.0,86.4868135
27,960.0,95.22024066
27,1080.0,103.7813745
27,1200.0,112.1969891
27,1320.0,120.4886171
27,1440.0,128.6758031
27,1560.0,136.772955
27,1680.0,144.7930915
27,1800.0,152.7449731
27,1920.0,160.6327357
27,2040.0,168.4602896
27,2160.0,176.2319395
27,2280.0,183.9526053
27,2400.0,191.6272602
27,4800.0,338.9325222
27,7200.0,479.4857212
27,9600.0,616.1294849
27,12000.0,750.2378756
27,14400.0,882.9622876
27,16800.0,1014.570302
27,19200.0,1145.287827
27,21600.0,1275.207892
27,24000.0,1404.633995
27,26400.0,1533.391269
27,28800.0,1661.701046
27,31200.0,1789.549584
27,33600.0,1917.112899
27,36000.0,2044.177007
27,38400.0,2171.124188
27,40800.0,2297.657705
27,43200.0,2423.989562
27,45600.0,2550.00049
27,48000.0,2675.836026
28,1.5,1.927714165
28,3.0,3.396504648
28,4.5,4.646718258
28,6.0,5.731473999
28,7.5,6.703890879
28,9.0,7.617087904
28,10.5,8.517319945
28,12.0,9.415480157
28,13.5,10.31110693
28,15.0,11.20373336
28,16.5,12.09289255
28,18.0,12.9781176
28,19.5,13.85894159
28,21.0,14.73489764
28,22.5,15.60551883
28,24.0,16.47033827
28,25.5,17.32893329
28,27.0,18.1813255
28,28.5,19.02779295
28,30.0,19.86861682
28,60.0,35.93294396
28,90.0,51.69167062
28,120.0,67.34627259
28,150.0,82.89972424
28,180.0,98.42604028
28,210.0,113.9313908
28,240.0,129.41541
28,270.0,144.8915299
28,300.0,160.406072
28,330.0,175.8873761
28,360.0,191.3839906
28,390.0,206.8657705
28,420.0,222.3619087
28,450.0,237.8437039
28,480.0,253.3398268
28,510.0,268.8216864
28,540.0,284.3177451
28,570.0,299.8018647
28,600.0,315.2925574
29,1.8,2.867405874
29,3.6,4.774711347
29,5.4,6.313768251
29,7.2,7.642100731
29,9.0,8.905427259
29,10.8,10.15223323
29,12.6,11.38318657
29,14.4,12.59862235
29,16.2,13.79887567
29,18.0,14.98428164
29,19.8,16.15517534
29,21.6,17.31189348
29,23.4,18.45491971
29,25.2,19.5850007
29,27.0,20.70291038
29,28.8,21.80942271
29,30.6,22.90531163
29,32.4,23.99135109
29,34.2,25.06831504
29,36.0,26.13697742
29,72.0,46.77972398
29,108.0,66.80531687
29,144.0,86.38750569
29,180.0,105.8545935
29,216.0,125.2533051
29,252.0,144.5924251
29,288.0,163.904183
29,324.0,183.1683871
29,360.0,202.4348765
29,396.0,221.6931223
29,432.0,240.8969654
29,468.0,260.1344354
29,504.0,279.3212497
29,540.0,298.5517287
